Product,UnitPrice
042939EU,1.11
044042EU,1.04
044046EU,1.63
041137EU,1.75
043932EU,1.81
042932EU,1.47
042943EU,1.78
028138EU,1.58
037732CH,1.99
023732CH,1.63
036640EC,1.34
043942EU,1.51
044132EU,1.69
042944EU,1.86
037766EC,1.58
037739CH,1.04
036647EC,1.15
043477CH,1.31
044138EU,1.81
043947EU,1.58
042747EU,1.64
043448CH,1.85
042732EU,1.72
043938EU,1.66
042742EU,1.59
041642EU,1.97
023738CH,1.22
040366EU,1.88
042738EU,1.93
002966EU,1.59
042539EU,1.33
041643EU,1.07
042548EU,1.47
041645EU,1.63
041646EU,1.44
047868CH,1.04
042936EU,1.35
037462EU,1.56
043847CH,1.89
042935EU,1.76
043949EU,1.01
041663EU,1.81
042567EU,1.13
043639EU,1.06
043852CH,1.65
037737CN,1.61
041648EU,1.92
041649EU,1.46
041659EU,1.94
037767CN,1.39
042938EU,1.58
041635EU,1.63
041141EU,1.13
037732CN,1.4
023732CN,1.87
043852CN,1.24
043847CN,1.17
041665EU,1.45
043840CN,1.22
047868CN,2.0
043440CN,1.23
043477CN,1.11
041691EU,1.63
041661EU,1.12
043152EU,1.81
041149EU,1.42
043448CN,1.59
023738CN,1.97
041671EU,1.14
041966EU,1.82
043948EU,1.3
041633EU01,1.91
042962EU,1.43
041662EU,1.46
043142EU,1.26
043140EU,1.05
041675EU,1.12
043136EU01,1.77
043821CN,1.87
043137EU01,1.82
037262EU,1.99
043148EU,1.15
042645EU,1.74
043146EU,1.82
043151EU,1.98
