Date,Euro
2016-11-09 23:00:00,60.0
2016-11-09 22:00:00,58.67
2016-11-09 21:00:00,55.55
2016-11-09 20:00:00,110.6
2016-11-09 19:00:00,114.18
2016-11-09 18:00:00,186.32
2016-11-09 17:00:00,109.18
2016-11-09 16:00:00,96.81
2016-11-09 15:00:00,100.08
2016-11-09 14:00:00,103.0
2016-11-09 13:00:00,109.61
2016-11-09 12:00:00,103.0
2016-11-09 11:00:00,99.95
2016-11-09 10:00:00,114.5
2016-11-09 09:00:00,94.72
2016-11-09 08:00:00,85.55
2016-11-09 07:00:00,74.7
2016-11-09 06:00:00,67.68
2016-11-09 05:00:00,39.0
2016-11-09 04:00:00,34.59
2016-11-09 03:00:00,35.64
2016-11-09 02:00:00,38.37
2016-11-09 01:00:00,41.78
2016-11-09 00:00:00,55.3
2016-11-08 23:00:00,66.18
2016-11-08 22:00:00,70.54
2016-11-08 21:00:00,78.4
2016-11-08 20:00:00,122.11
2016-11-08 19:00:00,239.73
2016-11-08 18:00:00,579.53
2016-11-08 17:00:00,145.58
2016-11-08 16:00:00,85.37
2016-11-08 15:00:00,74.32
2016-11-08 14:00:00,77.66
2016-11-08 13:00:00,97.5
2016-11-08 12:00:00,105.81
2016-11-08 11:00:00,127.5
2016-11-08 10:00:00,127.92
2016-11-08 09:00:00,125.16
2016-11-08 08:00:00,116.34
2016-11-08 07:00:00,106.16
2016-11-08 06:00:00,81.38
2016-11-08 05:00:00,45.95
2016-11-08 04:00:00,37.13
2016-11-08 03:00:00,36.17
2016-11-08 02:00:00,37.0
2016-11-08 01:00:00,44.2
2016-11-08 00:00:00,45.6
2016-11-07 23:00:00,82.46
2016-11-07 22:00:00,68.56
2016-11-07 21:00:00,86.33
2016-11-07 20:00:00,98.65
2016-11-07 19:00:00,336.77
2016-11-07 18:00:00,678.31
2016-11-07 17:00:00,122.46
2016-11-07 16:00:00,110.4
2016-11-07 15:00:00,99.56
2016-11-07 14:00:00,92.33
2016-11-07 13:00:00,86.69
2016-11-07 12:00:00,73.11
2016-11-07 11:00:00,74.46
2016-11-07 10:00:00,72.7
2016-11-07 09:00:00,90.0
2016-11-07 08:00:00,77.77
2016-11-07 07:00:00,74.35
2016-11-07 06:00:00,56.93
2016-11-07 05:00:00,38.96
2016-11-07 04:00:00,36.0
2016-11-07 03:00:00,37.2
2016-11-07 02:00:00,38.16
2016-11-07 01:00:00,41.36
